,PKMuestreo,FechaMuestreo,IDPiscina,PKCiclo,KilosAlimento,FechaSiembra,FechaCosecha,CantidadSembrada,Hectareas,days_from_last_monitoring,cycle_days,survival_updated_at,Supervivencia,PesoPromedio2,CantidadCosechada,biomass_harvested,CantidadCosechada_cum,biomass_harvested_cum,stocked_minus_harvested,live_animals,live_biomass,cumulative_biomass,kg/ha/day,cumulative_fcr,density_ha,density_ha_bin,biomass_ha,NombreProveedor,Proveedor,Codigo,Especie,Origen,Proceso,Descripcion,MnProveedor,total_feed_given,cycle_feed_cost,start_weight,start_cycle_days,CantidadCosechada_harvested,VentaUSDReal,average_weight_harvest,Parcial,final_sale,partial_harvest_qty,partial_harvest_rev,final_biomass_harvested,cycle_fcr,cycle_weekly_growth_rate,rev_ha_day,cycle_feed_ha_day,total_qty_harvested_ha,total_qty_harvested_ha_day,avg_feed_cost_$,cycle_survival
11,69161,2021-06-21,82,3432,3675.0,2021-04-03,2021-06-26,1080056,9.5,7.0,84,2021-06-21,88.0,22.75,0.0,0.0,274072.0,4947.0,805984.0,709266.0,16136.0,21083.0,55.3,1.511,113690.0,<130K,2219.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,31860.0,28570.35,0.73,2,1094480.0,97061.0,18.620001,1.0,1.0,274072.0,22519.0,20223.0,1.575,1.88,121.63,39.92,115208.42,1371.53,0.9,101.29999999999998
12,69160,2021-06-21,81,3433,2800.0,2021-04-04,2021-06-25,970173,8.6000004,7.0,82,2021-06-21,82.0,22.274,0.0,0.0,111831.0,1692.0,858342.0,703840.0,15677.0,17369.0,46.5,1.52,112811.0,<130K,2020.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,26400.0,23602.5,0.63,1,1003701.0,77306.0,16.360001,1.0,1.0,111831.0,6107.0,16283.0,1.621,1.87,109.62,37.44,116709.41,1423.29,0.89,103.49999999999999
13,69338,2021-07-05,79,3434,3000.0,2021-04-05,2021-07-06,872480,7.5999999,7.0,92,,93.0,27.0,0.0,0.0,289655.0,4788.0,582825.0,542027.0,14635.0,19423.0,56.4,1.588,114800.0,<130K,2556.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,30850.0,28635.25,2.56,7,921137.0,95351.0,24.49,1.0,1.0,289655.0,19047.0,20253.0,1.523,2.01,136.37,44.12,121202.24,1317.42,0.93,105.60000000000001
14,69110,2021-06-14,90,3435,1475.0,2021-04-06,2021-06-20,746200,6.5,7.0,75,2021-06-14,67.0,16.04,0.0,0.0,0.0,0.0,746200.0,499954.0,8019.0,8019.0,32.4,1.819,114800.0,<130K,1234.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,14590.0,12576.4,1.44,6,410802.0,22831.0,18.700001,0.0,1.0,0.0,0.0,7682.0,1.899,1.48,46.83,29.93,63200.31,842.67,0.86,55.1
15,69168,2021-06-21,89,3436,1500.0,2021-04-06,2021-06-23,585200,5.5,7.0,78,,67.0,17.05,0.0,0.0,0.0,0.0,585200.0,392084.0,6685.0,6685.0,39.0,2.184,106400.0,<130K,1215.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,14600.0,12946.25,1.92,6,383262.0,25829.0,18.700001,0.0,1.0,0.0,0.0,7167.0,2.037,1.47,60.21,34.03,69684.0,893.38,0.89,65.5
16,69345,2021-07-05,86,3438,2450.0,2021-04-18,2021-07-10,574158,7.8000002,7.0,83,2021-07-05,70.0,27.4,0.0,0.0,0.0,0.0,574158.0,401911.0,11012.0,11012.0,44.9,1.703,73610.0,<130K,1412.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,ACUTEC,18750.0,18632.25,0.7,1,371803.0,41662.0,24.01,0.0,1.0,0.0,0.0,8927.0,2.1,2.28,64.35,28.96,47667.05,574.3,0.99,64.8
17,69346,2021-07-05,87,3439,4200.0,2021-04-18,2021-07-12,1134963,8.5,7.0,85,2021-07-05,77.0,27.36,0.0,0.0,273266.0,4845.0,861697.0,663507.0,18154.0,22999.0,70.6,1.358,133525.0,130-160k,2706.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,ACUTEC,31225.0,29611.75,0.9,1,856815.0,90078.0,24.01,1.0,1.0,273266.0,21599.0,18856.0,1.656,2.2,124.68,43.22,100801.76,1185.9,0.95,75.5
18,69543,2021-08-09,80,3440,2550.0,2021-04-28,2021-08-09,1343780,9.1000004,7.0,103,2021-08-09,86.0,26.98,0.0,0.0,607502.0,11226.0,736278.0,633199.0,17084.0,28310.0,40.0,1.51,147668.0,130-160k,3111.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,ACUTEC,42759.0,38028.09,0.93,5,1081881.0,108726.0,24.16,2.0,1.0,607502.0,49839.0,22687.0,1.885,1.86,116.0,45.62,118888.02,1154.25,0.89,80.5
19,69689,2021-08-23,88,3448,4175.0,2021-05-25,2021-08-26,1254400,11.7,7.0,93,2021-08-23,73.0,26.61,0.0,0.0,250922.0,4356.0,1003478.0,732539.0,19493.0,23849.0,51.0,1.735,107214.0,<130K,2038.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,AC,41375.0,39063.0,2.23,6,937204.0,108566.0,26.17,1.0,1.0,250922.0,18974.0,22316.0,1.854,1.96,99.78,38.02,80102.91,861.32,0.94,74.7
20,69841,2021-09-06,83,3450,1500.0,2021-06-03,2021-09-07,920895,8.6999998,7.0,96,2021-09-06,44.0,27.8,0.0,0.0,0.0,0.0,920895.0,405194.0,11264.0,11264.0,24.6,2.242,105850.0,<130K,1295.0,AQUATROPICAL,AQ,VLL,V,L,L,Laboratorio,AQ,25250.0,21851.0,0.75,4,379484.0,43923.0,23.25,0.0,1.0,0.0,0.0,8823.0,2.862,2.06,52.59,30.23,43618.85,454.36,0.87,41.199999999999996
